month,turnover,turnover_retainers,turnover_projects,total_costs_total_oh,Total Salaries,mgmt_salaries,prod_salaries,total_oh,oh_odesa,oh_poltava,oh_ivano,Bonus,misc_expenses,net_profit,net_profit_perc,total_invoiceable,6h_day_invoiceable,"Invoicable
Projects","Invoiceable 
retainers",Lost revenue,Efficiency,time_efficiency,unbilled_hours,total_hours,billed_hours,dev_team,team_size
January,71730.0,36890.0,34840.0,59429.688,30087.0,10649.0,19438.0,22089.88,10999.0,11090.88,0.0,5846.807999999999,0.0,12300.311999999998,17.1,91152.38095238095,81147.38095238095,50700,40452.380952380954,-19422.380952380947,0.786924041374987,96.1,152.0,3940.0,3788.0,24,37
February,62349.0,27144.0,35205.0,61815.96000000001,33207.0,11930.0,21277.0,23048.960000000003,10999.0,12049.96,0.0,4078.0,0.0,533.0399999999936,0.9,94835.2380952381,90395.2380952381,51990,42845.2380952381,-32486.238095238106,0.6574454944414874,75.2,1046.0,4221.0,3175.0,26,39
March,58956.0,33697.0,25259.0,66342.812,36119.0,12030.0,24089.0,24641.079999999998,11516.78,13124.3,0.0,4024.7320000000022,0.0,-7386.812000000005,-12.5,106592.38095238095,91819.63095238096,62640,43952.38095238096,-47636.38095238095,0.5530976930362217,72.7,1221.0,4466.0,3245.0,28,41
April,82507.0,37707.0,44800.0,71106.35435294117,38056.0,12030.0,26026.0,25874.17,12749.869999999999,13124.3,0.0,5542.184352941177,0.0,11400.645647058831,13.8,120876.66666666666,102243.33333333333,73260,47616.666666666664,-38369.66666666666,0.682571767366186,70.3,1606.0,5404.0,3798.0,30,43
May,68598.0,42963.0,25635.0,70091.17,36364.0,12030.0,24334.0,26383.17,12102.869999999999,14280.3,0.0,5672.0,0.0,-1493.1699999999983,-2.2,108578.80952380953,93331.30952380953,61680,46898.809523809534,-39980.80952380953,0.6317807342044729,71.8,1448.0,5131.0,3683.0,31,44
June,71335.0,48220.0,23115.0,70140.515,37985.0,11715.0,26270.0,25736.17,11455.869999999999,14280.3,0.0,4823.344999999998,0.0,1194.4850000000006,1.7,95020.0,81640.0,57103.33333333333,37916.66666666667,-23685.0,0.7507366870132604,88.1,510.0,4284.0,3774.0,30,42
July,65159.0,39911.0,25248.0,69782.90856,38450.0,11580.0,26870.0,25158.17,11455.869999999999,13702.3,0.0,4578.7385600000025,0.0,-4623.908559999996,-7.1,124997.14285714287,107328.95238095238,73140,51857.14285714286,-59838.14285714287,0.5212839150609156,62.4,2081.0,5530.0,3449.0,30,42
August,65064.0,42924.0,22140.0,72239.64199999999,40035.0,12770.0,27265.0,25158.17,11455.869999999999,13702.3,0.0,5450.472000000002,0.0,-7175.641999999993,-11.0,114167.61904761905,97307.61904761905,62820,46547.61904761905,-49103.61904761905,0.5698988955253762,70.5,1457.0,4944.0,3487.0,30,42
September,69934.95999999999,44939.96000000001,24995.0,75578.82208,42292.0,13967.0,28325.0,26602.969999999998,12133.669999999998,13702.3,767.0,4973.852080000001,0.0,-5643.862080000006,-8.1,116417.14285714287,102497.14285714287,56280,60137.14285714287,-46482.18285714288,0.6007273351985469,106.5,-342.5,5262.0,5604.5,32,45
October,74674.0,46174.0,28500.0,79130.17,43722.0,9767.0,33955.0,28033.17,12194.869999999999,13537.3,2301.0,5551.0,0.0,-4456.169999999998,-6.0,151491.42857142855,130146.42857142858,85920,65571.42857142857,-76817.42857142855,0.4929255780619366,71.7,2103.0,7435.0,5332.0,35,48
November,72437.0,58627.0,13810.0,76422.17,42376.0,11151.0,31225.0,27440.17,12564.869999999999,12574.3,2301.0,4858.0,0.0,-3985.1699999999983,-5.5,137134.7619047619,118654.7619047619,74730,62404.76190476191,-64697.761904761894,0.5282176378466785,94.2,357.25,6126.0,5768.75,33,46
December,73740.0,52740.0,21000.0,75468.17,41356.76190476191,10345.0,31011.76190476191,26531.408095238094,12564.869999999999,11665.538095238095,2301.0,5908.0,0.0,-1728.1699999999983,-2.3,115551.90476190478,99471.90476190476,70830,57904.76190476191,-41811.90476190478,0.6381547768679504,118.8,-972.5,5184.0,6156.5,34,44
