month,turnover,turnover_retainers,turnover_projects,total_costs_total_oh,total_costs_run_oh,Total Salaries,mgmt_salaries,prod_salaries,total_oh,run_oh,oh_odesa,oh_poltava,oh_ivano,oh_kremen,Bonus,misc_expenses,net_profit,net_profit_perc,run_oh_profit,run_oh_profit_perc,total_invoiceable,6h_day_invoiceable,"""Lost"" revenue",revenue_efficiency,6h_day_revenue_efficiency,time_efficiency,unbilled_hours,total_hours,billed_hours,dev_team,team_size
January,82048.8,56211.0,26343.0,80682,74196,41894.2380952381,12680.0,29214.2380952381,31779.051422936038,25940.944676147385,16130.690476190477,13203.360946745563,2445.0,0.0,5965.0,396.0,1366,1.7,7852,9.6,130930.0,109041.66666666669,-48881.2,62.7,75.2,84.4,808.0,5191.0,4383.0,36,44
February,70785.0,49297.0,21488.0,85824,85824,45293.0,13380.0,31913.0,33600.5,27228.77366214178,16675.5,14480.0,2445.0,0.0,6135.0,148.0,-15039,-21.2,-15039,-21.2,137118.0,114153.14285714288,-66333.0,51.6,62.0,71.6,1541.0,5433.0,3892.0,36,45
March,94080.0,58505.0,35575.0,90688,84033,46342.79761904762,13380.0,32962.79761904762,36055.76190476191,29400.618015944838,18510.928571428572,14721.333333333334,2648.75,174.75,7460.0,74.0,3391,3.6,10046,10.7,149584.57142857142,124452.2380952381,-55504.57142857142,62.9,75.6,83.4,969.0,5842.0,4873.0,42,51
April,105432.5,56005.0,49427.5,95701,88917,49841.5,13380.0,36461.5,38334.12857142857,31550.214285714283,19895.12857142857,14480.0,3260.0,699.0,6660.0,74.0,9730,9.2,16514,15.7,175260.04761904763,151214.79761904763,-69827.54761904763,60.2,69.7,72.3,2021.25,7303.0,5281.75,44,53
May,79668.0,50785.0,28883.0,91234,84055,49773.0,13380.0,36393.0,38610.12857142857,31431.785714285714,19895.12857142857,14756.0,3260.0,699.0,1985.0,74.0,-11566,-14.5,-4387,-5.5,176121.04761904763,152860.54761904763,-96453.04761904763,45.2,52.1,61.4,2815.0,7300.0,4485.0,44,53
June,85510.9952,56348.995200000005,29162.0,90715,83503,49557.5,13380.0,36177.5,38561.166666666664,31349.5,20122.166666666664,14480.0,3260.0,699.0,1445.0,0.0,-5204,-6.1,2007,2.3,151296.71428571426,132316.46428571432,-65785.71908571426,56.5,64.6,75.7,1509.6000000000004,6200.0,4690.4,43,52
July,96089.3328,64537.332800000004,31552.0,91492,84233,49864.0,13380.0,36484.0,38817.5,31558.5,20378.5,14480.0,3260.0,699.0,1304.0,0.0,4596,4.8,11855,12.3,168191.9047619048,147406.9614512472,-72102.57196190479,57.1,65.2,66.5,2367.6000000000004,7058.0,4690.4,43,52
August,78444.5,58849.0,19595.5,95772,88696,54838.32380952381,14460.0,40378.32380952381,38494.97619047619,31419.261904761905,19792.595238095237,13928.380952380952,4075.0,699.0,1647.3345000000002,0.0,-17328,-22.1,-10252,-13.1,133521.14285714287,121305.14285714287,-55076.64285714287,58.8,64.7,82.4,986.5,5620.0,4633.5,44,53
September,106222.0,66868.0,39354.0,95842,88690,54716.828571428574,14460.0,40256.828571428574,38139.5,30987.5,19609.5,13756.0,4075.0,699.0,2230.6620000000003,0.0,10379,9.8,17531,16.5,144867.54761904763,129732.92261904765,-38645.54761904763,73.3,81.9,87.0,837.0,6441.5,5604.5,42,51
October,108573.42857142857,77129.42857142857,31444.0,99737,92766,58078.25714285715,14690.0,43388.25714285715,38605.21428571428,31634.214285714286,19609.5,13756.0,4540.714285714285,699.0,2280.042,0.0,8835,8.1,15806,14.6,144867.54761904763,129732.92261904765,-36294.11904761907,74.9,83.7,79.9,1341.5,6673.5,5332.0,43,52
November,119157.98000000001,71130.48000000001,48027.5,108607,100659,63257.49523809524,15170.0,48087.49523809524,42001.5,34053.5,18840.5,15253.0,4890.0,1398.0,2502.3175800000004,0.0,10550,8.9,18498,15.5,162976.23809523808,147075.98809523808,-43818.25809523807,73.1,81.0,87.2,848.25,6617.0,5768.75,47,56
December,126983.23996,70885.23996,56098.0,111284,103191,65053.68571428572,15170.0,49883.68571428572,42700.07142857143,34607.21428571429,18840.5,15253.0,5588.571428571428,1398.0,2666.6480391600003,0.0,15698,12.4,23791,18.7,166528.09523809518,155165.0952380952,-39544.85527809517,76.3,81.8,94.4,366.5,6523.0,6156.5,48,57
